Country Code,Year,Export
ABW,1960,
ABW,1961,
ABW,1962,
ABW,1963,
ABW,1964,
ABW,1965,
ABW,1966,
ABW,1967,
ABW,1968,
ABW,1969,
ABW,1970,
ABW,1971,
ABW,1972,
ABW,1973,
ABW,1974,
ABW,1975,
ABW,1976,
ABW,1977,
ABW,1978,
ABW,1979,
ABW,1980,
ABW,1981,
ABW,1982,
ABW,1983,
ABW,1984,
ABW,1985,
ABW,1986,105.0227080669
ABW,1987,115.5036515338
ABW,1988,135.0664273764
ABW,1989,101.3492672366
ABW,1990,123.596991199
ABW,1991,113.7089664254
ABW,1992,38.2328993577
ABW,1993,54.618427655
ABW,1994,52.017550141
ABW,1995,408.6593966663
ABW,1996,525.7409795016
ABW,1997,523.1823215149
ABW,1998,353.3295922177
ABW,1999,421.4705838311
ABW,2000,765.4801086572
ABW,2001,735.0273763321
ABW,2002,451.3129996311
ABW,2003,622.4027422578
ABW,2004,1041.8567332726
ABW,2005,1339.6026269054
ABW,2006,1430.5534407254
ABW,2007,1579.2568214501
ABW,2008,1655.0743935901
ABW,2009,592.0519315423
ABW,2010,80.2744823208
ABW,2011,1571.3260433509
ABW,2012,421.3349915837
ABW,2013,84.6465351277
ABW,2014,78.5460998079
ABW,2015,100.0
ABW,2016,86.1547328754
ABW,2017,40.8293267454
ABW,2018,58.8712784219
ABW,2019,39.6035369235
ABW,2020,26.4868882053
ABW,2021,38.7390229483
ABW,2022,
ABW,2023,
AFE,1960,
AFE,1961,
AFE,1962,
AFE,1963,
AFE,1964,
AFE,1965,
AFE,1966,
AFE,1967,
AFE,1968,
AFE,1969,
AFE,1970,
AFE,1971,
AFE,1972,
AFE,1973,
AFE,1974,
AFE,1975,
AFE,1976,
AFE,1977,
AFE,1978,
AFE,1979,
AFE,1980,
AFE,1981,
AFE,1982,
AFE,1983,
AFE,1984,
AFE,1985,
AFE,1986,
AFE,1987,
AFE,1988,
AFE,1989,
AFE,1990,
AFE,1991,
AFE,1992,
AFE,1993,
AFE,1994,
AFE,1995,
AFE,1996,
AFE,1997,
AFE,1998,
AFE,1999,
AFE,2000,
AFE,2001,
AFE,2002,
AFE,2003,
AFE,2004,
AFE,2005,
AFE,2006,
AFE,2007,
AFE,2008,
AFE,2009,
AFE,2010,
AFE,2011,
AFE,2012,
AFE,2013,
AFE,2014,
AFE,2015,
AFE,2016,
AFE,2017,
AFE,2018,
AFE,2019,
AFE,2020,
AFE,2021,
AFE,2022,
AFE,2023,
AFG,1960,
AFG,1961,
AFG,1962,
AFG,1963,
AFG,1964,
AFG,1965,
AFG,1966,
AFG,1967,
AFG,1968,
AFG,1969,
AFG,1970,
AFG,1971,
AFG,1972,
AFG,1973,
AFG,1974,
AFG,1975,
AFG,1976,
AFG,1977,
AFG,1978,
AFG,1979,
AFG,1980,87.0595847606
AFG,1981,90.1822626748
AFG,1982,91.9163620942
AFG,1983,94.6415610285
AFG,1984,82.2106011244
AFG,1985,73.6284326707
AFG,1986,71.6890990013
AFG,1987,66.4880996926
AFG,1988,51.2630964304
AFG,1989,30.6474470286
AFG,1990,30.5383351678
AFG,1991,24.4202765184
AFG,1992,17.0162565136
AFG,1993,13.7688793171
AFG,1994,21.8223747655
AFG,1995,29.0616987822
AFG,1996,22.4457258853
AFG,1997,25.2656172082
AFG,1998,27.8655244605
AFG,1999,29.0933750905
AFG,2000,24.0305912599
AFG,2001,11.9004908932
AFG,2002,17.5007219036
AFG,2003,25.201039536
AFG,2004,53.3772018025
AFG,2005,67.20277212
AFG,2006,72.803003128
AFG,2007,79.453277447
AFG,2008,94.5154487499
AFG,2009,70.6050874643
AFG,2010,67.9875044866
AFG,2011,65.7766382808
AFG,2012,75.0611212622
AFG,2013,90.1238176095
AFG,2014,99.8300692119
AFG,2015,100.0
AFG,2016,104.3839308258
AFG,2017,126.5302193594
AFG,2018,153.1663181047
AFG,2019,151.1770110426
AFG,2020,135.9345822856
AFG,2021,181.4824861284
AFG,2022,
AFG,2023,
AFW,1960,
AFW,1961,
AFW,1962,
AFW,1963,
AFW,1964,
AFW,1965,
AFW,1966,
AFW,1967,
AFW,1968,
AFW,1969,
AFW,1970,
AFW,1971,
AFW,1972,
AFW,1973,
AFW,1974,
AFW,1975,
AFW,1976,
AFW,1977,
AFW,1978,
AFW,1979,
AFW,1980,
AFW,1981,
AFW,1982,
AFW,1983,
AFW,1984,
AFW,1985,
AFW,1986,
AFW,1987,
AFW,1988,
AFW,1989,
AFW,1990,
AFW,1991,
AFW,1992,
AFW,1993,
AFW,1994,
AFW,1995,
AFW,1996,
AFW,1997,
AFW,1998,
AFW,1999,
AFW,2000,
AFW,2001,
AFW,2002,
AFW,2003,
AFW,2004,
AFW,2005,
AFW,2006,
AFW,2007,
AFW,2008,
AFW,2009,
AFW,2010,
AFW,2011,
AFW,2012,
AFW,2013,
AFW,2014,
AFW,2015,
AFW,2016,
AFW,2017,
AFW,2018,
AFW,2019,
AFW,2020,
AFW,2021,
AFW,2022,
AFW,2023,
AGO,1960,
AGO,1961,
AGO,1962,
AGO,1963,
AGO,1964,
AGO,1965,
AGO,1966,
AGO,1967,
AGO,1968,
AGO,1969,
AGO,1970,
AGO,1971,
AGO,1972,
AGO,1973,
AGO,1974,
AGO,1975,
AGO,1976,
AGO,1977,
AGO,1978,
AGO,1979,
