Country Code,Year,GDP
ABW,1960,
ABW,1961,
ABW,1962,
ABW,1963,
ABW,1964,
ABW,1965,
ABW,1966,
ABW,1967,
ABW,1968,
ABW,1969,
ABW,1970,
ABW,1971,
ABW,1972,
ABW,1973,
ABW,1974,
ABW,1975,
ABW,1976,
ABW,1977,
ABW,1978,
ABW,1979,
ABW,1980,
ABW,1981,
ABW,1982,
ABW,1983,
ABW,1984,
ABW,1985,
ABW,1986,405586592.17877096
ABW,1987,487709497.2067039
ABW,1988,596648044.6927375
ABW,1989,695530726.2569833
ABW,1990,764804469.273743
ABW,1991,872067039.1061453
ABW,1992,958659217.877095
ABW,1993,1083240223.4636872
ABW,1994,1245810055.8659217
ABW,1995,1320670391.0614524
ABW,1996,1379888268.1564245
ABW,1997,1531843575.4189944
ABW,1998,1665363128.49162
ABW,1999,1722905027.9329607
ABW,2000,1873452513.9664805
ABW,2001,1896456983.2402234
ABW,2002,1961843575.4189944
ABW,2003,2044111731.8435755
ABW,2004,2254830726.2569833
ABW,2005,2360017318.435754
ABW,2006,2469782681.5642457
ABW,2007,2677641340.782123
ABW,2008,2843024581.0055866
ABW,2009,2553793296.0893855
ABW,2010,2453597206.7039104
ABW,2011,2637859217.8770947
ABW,2012,2615208379.888268
ABW,2013,2727849720.670391
ABW,2014,2790849720.670391
ABW,2015,2962907262.5698323
ABW,2016,2983635195.5307264
ABW,2017,3092429050.27933
ABW,2018,3276184357.541899
ABW,2019,3395798882.6815643
ABW,2020,2481857122.8401003
ABW,2021,2929446578.2510448
ABW,2022,3279343543.604156
ABW,2023,3648573136.1515474
AFE,1960,24210632546.40918
AFE,1961,24963977550.732044
AFE,1962,27078797298.77046
AFE,1963,31775749181.23809
AFE,1964,30285794056.930534
AFE,1965,33813171214.317833
AFE,1966,36934974916.794426
AFE,1967,38452170915.87015
AFE,1968,41750716742.670784
AFE,1969,47058301051.09074
AFE,1970,47603733607.84659
AFE,1971,52199396058.87747
AFE,1972,56737525054.64258
AFE,1973,73098451708.72159
AFE,1974,89554214418.5948
AFE,1975,95315090874.56041
AFE,1976,96025945909.71158
AFE,1977,109230767189.88669
AFE,1978,124109354266.7739
AFE,1979,142129549067.43475
AFE,1980,178509359261.9699
AFE,1981,185163153183.2735
AFE,1982,178405098013.4793
AFE,1983,185822573393.84207
AFE,1984,170100082132.49783
AFE,1985,149398169631.56985
AFE,1986,160637695746.52994
AFE,1987,190274540364.3138
AFE,1988,207470327239.54727
AFE,1989,220712471558.90436
AFE,1990,256512313442.55002
AFE,1991,276493655917.1137
AFE,1992,241276314848.92783
AFE,1993,240096330186.9254
AFE,1994,243571151197.46057
AFE,1995,273433178583.62643
AFE,1996,273531010588.08823
AFE,1997,288377674812.45184
AFE,1998,268833477662.21048
AFE,1999,265429291101.25574
AFE,2000,287201650974.2431
AFE,2001,260992227761.93173
AFE,2002,267815037121.33246
AFE,2003,355716369350.72736
AFE,2004,442696185950.8185
AFE,2005,516661066397.69714
AFE,2006,580240750094.055
AFE,2007,665598700905.8634
AFE,2008,713502105895.9148
AFE,2009,715485327512.2477
AFE,2010,849409658497.5784
AFE,2011,945439148517.7546
AFE,2012,952998559818.562
AFE,2013,962394917490.2483
AFE,2014,978708260612.8739
AFE,2015,898277807343.0054
AFE,2016,828942805457.7549
AFE,2017,972998927353.6777
AFE,2018,1012306000425.2489
AFE,2019,1009721174054.907
AFE,2020,933391782089.6174
AFE,2021,1085745178850.9733
AFE,2022,1191423176242.9597
AFE,2023,1245472471675.949
AFG,1960,
AFG,1961,
AFG,1962,
AFG,1963,
AFG,1964,
AFG,1965,
AFG,1966,
AFG,1967,
AFG,1968,
AFG,1969,
AFG,1970,
AFG,1971,
AFG,1972,
AFG,1973,
AFG,1974,
AFG,1975,
AFG,1976,
AFG,1977,
AFG,1978,
AFG,1979,
AFG,1980,
AFG,1981,
AFG,1982,
AFG,1983,
AFG,1984,
AFG,1985,
AFG,1986,
AFG,1987,
AFG,1988,
AFG,1989,
AFG,1990,
AFG,1991,
AFG,1992,
AFG,1993,
AFG,1994,
AFG,1995,
AFG,1996,
AFG,1997,
AFG,1998,
AFG,1999,
AFG,2000,3521418059.923445
AFG,2001,2813571753.8725324
AFG,2002,3825701438.9996333
AFG,2003,4520946818.545814
AFG,2004,5224896718.67782
AFG,2005,6203256538.709669
AFG,2006,6971758282.293506
AFG,2007,9747886187.393929
AFG,2008,10109297047.543194
AFG,2009,12416152732.056717
AFG,2010,15856668555.833595
AFG,2011,17805098206.314083
AFG,2012,19907329777.587166
AFG,2013,20146416757.598675
AFG,2014,20497128555.69723
AFG,2015,19134221644.732494
AFG,2016,18116572395.077213
AFG,2017,18753456497.815865
AFG,2018,18053222687.412624
AFG,2019,18799444490.11278
AFG,2020,19955929052.149597
AFG,2021,14259995441.075907
AFG,2022,14497243872.13374
AFG,2023,17233051620.111732
AFW,1960,11904954209.791302
AFW,1961,12707877772.09132
AFW,1962,13630758805.127037
AFW,1963,14469094143.85075
AFW,1964,15803761887.016966
AFW,1965,16921087954.572952
AFW,1966,18034172573.258663
AFW,1967,16493747239.311077
AFW,1968,17022809177.193502
AFW,1969,19301432647.6235
AFW,1970,26697257158.49351
AFW,1971,24497091507.966877
AFW,1972,29489793286.493958
AFW,1973,36891093307.350716
AFW,1974,49687843306.277534
