Country Code,Year,Import
ABW,1960,
ABW,1961,
ABW,1962,
ABW,1963,
ABW,1964,
ABW,1965,
ABW,1966,
ABW,1967,
ABW,1968,
ABW,1969,
ABW,1970,
ABW,1971,
ABW,1972,
ABW,1973,
ABW,1974,
ABW,1975,
ABW,1976,
ABW,1977,
ABW,1978,
ABW,1979,
ABW,1980,
ABW,1981,
ABW,1982,
ABW,1983,
ABW,1984,
ABW,1985,
ABW,1986,47.4326692655
ABW,1987,58.3646750583
ABW,1988,83.1509743506
ABW,1989,95.5619217108
ABW,1990,132.571550693
ABW,1991,118.9001782787
ABW,1992,122.6065546363
ABW,1993,131.0110362156
ABW,1994,134.7188957237
ABW,1995,127.7008551758
ABW,1996,162.7290183815
ABW,1997,169.2163491405
ABW,1998,121.4145015498
ABW,1999,159.4317297701
ABW,2000,206.4605391594
ABW,2001,189.679228355
ABW,2002,161.3216186118
ABW,2003,191.7344254844
ABW,2004,287.0431729563
ABW,2005,342.9094580465
ABW,2006,377.7052938916
ABW,2007,409.9767992818
ABW,2008,480.7345062109
ABW,2009,195.8314639347
ABW,2010,111.5047861077
ABW,2011,473.1927853598
ABW,2012,163.5913086482
ABW,2013,110.0974015334
ABW,2014,107.9527923732
ABW,2015,100.0
ABW,2016,91.0374434848
ABW,2017,89.8930014787
ABW,2018,98.5255811985
ABW,2019,96.4168008286
ABW,2020,68.8589409242
ABW,2021,84.2328519794
ABW,2022,
ABW,2023,
AFE,1960,
AFE,1961,
AFE,1962,
AFE,1963,
AFE,1964,
AFE,1965,
AFE,1966,
AFE,1967,
AFE,1968,
AFE,1969,
AFE,1970,
AFE,1971,
AFE,1972,
AFE,1973,
AFE,1974,
AFE,1975,
AFE,1976,
AFE,1977,
AFE,1978,
AFE,1979,
AFE,1980,
AFE,1981,
AFE,1982,
AFE,1983,
AFE,1984,
AFE,1985,
AFE,1986,
AFE,1987,
AFE,1988,
AFE,1989,
AFE,1990,
AFE,1991,
AFE,1992,
AFE,1993,
AFE,1994,
AFE,1995,
AFE,1996,
AFE,1997,
AFE,1998,
AFE,1999,
AFE,2000,
AFE,2001,
AFE,2002,
AFE,2003,
AFE,2004,
AFE,2005,
AFE,2006,
AFE,2007,
AFE,2008,
AFE,2009,
AFE,2010,
AFE,2011,
AFE,2012,
AFE,2013,
AFE,2014,
AFE,2015,
AFE,2016,
AFE,2017,
AFE,2018,
AFE,2019,
AFE,2020,
AFE,2021,
AFE,2022,
AFE,2023,
AFG,1960,
AFG,1961,
AFG,1962,
AFG,1963,
AFG,1964,
AFG,1965,
AFG,1966,
AFG,1967,
AFG,1968,
AFG,1969,
AFG,1970,
AFG,1971,
AFG,1972,
AFG,1973,
AFG,1974,
AFG,1975,
AFG,1976,
AFG,1977,
AFG,1978,
AFG,1979,
AFG,1980,23.2794187703
AFG,1981,24.5362692937
AFG,1982,26.6264062022
AFG,1983,29.4640092693
AFG,1984,38.4668240869
AFG,1985,33.0601520874
AFG,1986,38.8543991491
AFG,1987,27.5704282976
AFG,1988,24.9238443558
AFG,1989,22.7465030712
AFG,1990,25.9121607444
AFG,1991,17.0533023684
AFG,1992,11.3780962235
AFG,1993,11.5995676822
AFG,1994,10.3814746558
AFG,1995,5.011093681
AFG,1996,8.5589998006
AFG,1997,7.8209317397
AFG,1998,5.983349443
AFG,1999,13.1078298015
AFG,2000,15.226162829
AFG,2001,21.9607619631
AFG,2002,31.7498752121
AFG,2003,27.2049297707
AFG,2004,28.1890205185
AFG,2005,31.992531265
AFG,2006,35.5333156835
AFG,2007,39.1305558207
AFG,2008,39.1028458944
AFG,2009,43.2020370598
AFG,2010,66.7401281771
AFG,2011,84.3598845785
AFG,2012,117.430513149
AFG,2013,110.7673512273
AFG,2014,100.0816250227
AFG,2015,100.0
AFG,2016,84.6077200543
AFG,2017,91.4815939352
AFG,2018,95.9035280293
AFG,2019,87.7495778951
AFG,2020,84.6530296586
AFG,2021,72.1752872767
AFG,2022,
AFG,2023,
AFW,1960,
AFW,1961,
AFW,1962,
AFW,1963,
AFW,1964,
AFW,1965,
AFW,1966,
AFW,1967,
AFW,1968,
AFW,1969,
AFW,1970,
AFW,1971,
AFW,1972,
AFW,1973,
AFW,1974,
AFW,1975,
AFW,1976,
AFW,1977,
AFW,1978,
AFW,1979,
AFW,1980,
AFW,1981,
AFW,1982,
AFW,1983,
AFW,1984,
AFW,1985,
AFW,1986,
AFW,1987,
AFW,1988,
AFW,1989,
AFW,1990,
AFW,1991,
AFW,1992,
AFW,1993,
AFW,1994,
AFW,1995,
AFW,1996,
AFW,1997,
AFW,1998,
AFW,1999,
AFW,2000,
AFW,2001,
AFW,2002,
AFW,2003,
AFW,2004,
AFW,2005,
AFW,2006,
AFW,2007,
AFW,2008,
AFW,2009,
AFW,2010,
AFW,2011,
AFW,2012,
AFW,2013,
AFW,2014,
AFW,2015,
AFW,2016,
AFW,2017,
AFW,2018,
AFW,2019,
AFW,2020,
AFW,2021,
AFW,2022,
AFW,2023,
AGO,1960,
AGO,1961,
AGO,1962,
AGO,1963,
AGO,1964,
AGO,1965,
AGO,1966,
AGO,1967,
AGO,1968,
AGO,1969,
AGO,1970,
AGO,1971,
AGO,1972,
AGO,1973,
AGO,1974,
AGO,1975,
AGO,1976,
AGO,1977,
AGO,1978,
AGO,1979,
