Country,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Test_Score,Export_GDP_Correlation
ABW,938695580.3352565,66455169.61596345,219974498.0790265,-272738218.08122665,0.847507663088712,0.2899102400609243
AGO,4125161398.740696,532228230.5838343,13984259213.772264,24368950358.2855,0.9457649316623905,0.9674780841885271
ALB,-1147235024.4143405,25386761.64094376,3989262730.046751,-120563547.85077418,0.9836233397902067,0.9455737218132384
ARM,-1628987398.8393261,90485020.61928548,2757624437.5474715,208286222.466226,0.903333603950214,0.8976350094450793
ATG,181129616.30644214,-8199753.166146368,106231840.6937842,14470245.316816866,0.9435617228637964,-0.08823778145647554
AUS,37821018930.2709,-14887251276.764704,409491612895.3314,21240677434.00616,0.9703844427918344,0.9730520241612566
AUT,-1398786099.9462829,-14077592043.177912,121481112063.02582,-16876984785.492987,0.8872169262792075,0.9801789757526187
AZE,11245223031.121655,-1691324422.6704333,-6124666458.794547,21810483804.58188,-6.9600704922453,0.9541781955630184
BDI,140267587.72865596,-22636666.898083407,545217469.2224288,76727698.62328683,0.8927571250740345,0.7331869363512139
BEL,18150148809.14441,-10550298535.531837,86113952159.93697,21027454965.86831,0.9409575176870784,0.9838792692311861
BEN,3591596901.670974,-26847769.793224115,2014288127.6816456,-838380941.6891356,0.9793807541602275,0.9424998190841862
BFA,1198507339.6274884,-56287801.95674233,2526459567.5327783,1872323867.386778,0.9673598326165019,0.96527070585066
BGD,-6183017105.779848,-4761265574.492848,160340189378.85892,-40112764000.689186,0.825066304198469,0.94338378564644
BGR,-6212568081.651317,61013280.583307676,9445570584.079319,7224371938.620185,0.9161292141431682,0.9802199208549878
BHR,10768455540.711964,418278492.05483377,-846859482.7335168,3664152967.8835745,0.9641570742289989,0.9567547015697283
BHS,3674137635.9458795,-77303676.8902801,764774840.0854061,-428638845.2973827,0.9417068972882374,-0.5720044267694749
BLR,-5369017888.083897,-888067447.193064,19895880209.255577,-2386417956.78639,0.8084029167629747,0.9614819589323294
BLZ,607587091.687314,10032516.246813284,134505477.63158417,-22382975.816299237,0.9594874647527839,0.9050674199456419
BOL,1779149607.1863277,307828032.12184536,15339174805.055626,-4615386675.290949,0.9685375933602884,0.9242033923078325
BRA,44515671231.139854,16133464973.582167,715252293652.92,44604088296.40176,0.7767972930130561,0.9478617650305009
BRB,1260518793.2266614,38963204.90033873,409934745.77053154,-40553988.10350068,0.9880525564932306,0.8279296806413519
BRN,-63270183.14715594,571984061.2119044,1171007362.4509938,3564391647.4672623,0.14894661283977728,0.961610576549269
BTN,72761252.0012474,-46672207.672200724,721826278.4878172,70787563.88334934,0.970609619228091,0.9459017676228543
BWA,3073892811.504391,137609491.89134616,1988202607.6444297,743225584.2302153,0.9698362664986638,0.9453759808655653
CAF,164421604.58187583,-41576672.12787237,293342694.4268905,78691915.62691303,0.8900660363087615,0.4213941627084029
CAN,10341823298.210735,-24466177080.032497,430688691908.2033,45954645990.465645,0.9677053115547916,0.9714250370163531
CHL,28579243363.259834,6374812686.175534,81364125155.46687,-2197549716.8548784,0.9941137651605928,0.9755726340055416
