Country,Year,ED
Albania,1990,91686.607
Albania,1991,62551.104
Albania,1992,45248.68
Albania,1993,41288.217
Albania,1994,43522.774
Albania,1995,41232.082
Albania,1996,43924.338
Albania,1997,35422.996
Albania,1998,39361.856
Albania,1999,65796.233
Albania,2000,65787.851
Albania,2001,67379.233
Albania,2002,76159.288
Albania,2003,72619.374
Albania,2004,84608.53
Albania,2005,83636.955
Albania,2006,73704.679
Albania,2007,71141.376
Albania,2008,76626.73
Albania,2009,82494.617
Albania,2010,83971.866
Albania,2011,83800.313
Albania,2012,75601.656
Albania,2013,88643.812
Albania,2014,90096.695
Albania,2015,85581.847
Albania,2016,84025.775
Albania,2017,88663.171
Albania,2018,90099.48
Albania,2019,87982.27
Albania,2020,83268.557
Albania,2021,85958.066
Albania,2022,83517.196
Albania,2023,81408.882
Austria,1990,820418.028
Austria,1991,879512.897
Austria,1992,858893.689
Austria,1993,871391.502
Austria,1994,849432.583
Austria,1995,882550.058
Austria,1996,961798.352
Austria,1997,950097.615
Austria,1998,971582.69
Austria,1999,980833.824
Austria,2000,987164.955
Austria,2001,1045151.63
Austria,2002,1052795.994
Austria,2003,1112017.485
Austria,2004,1122335.017
Austria,2005,1144773.822
Austria,2006,1162648.966
Austria,2007,1136167.104
Austria,2008,1137348.097
Austria,2009,1110439.188
Austria,2010,1162629.541
Austria,2011,1120464.134
Austria,2012,1132741.583
Austria,2013,1156661.738
Austria,2014,1115472.117
Austria,2015,1142111.956
Austria,2016,1170832.574
Austria,2017,1180130.579
Austria,2018,1167794.406
Austria,2019,1186521.832
Austria,2020,1128482.74
Austria,2021,1195922.712
Austria,2022,1120880.35
Austria,2023,1071033.951
Belgium,1990,1299016.244
Belgium,1991,1384826.913
Belgium,1992,1424061.297
Belgium,1993,1389165.605
Belgium,1994,1496385.664
Belgium,1995,1543084.656
Belgium,1996,1635820.612
Belgium,1997,1624995.739
Belgium,1998,1664443.789
Belgium,1999,1664652.519
Belgium,2000,1709083.236
Belgium,2001,1745061.377
Belgium,2002,1671558.6
Belgium,2003,1744525.835
Belgium,2004,1763509.577
Belgium,2005,1742655.551
Belgium,2006,1686734.906
Belgium,2007,1624668.923
Belgium,2008,1745739.059
Belgium,2009,1665818.182
Belgium,2010,1799629.64
Belgium,2011,1658708.863
Belgium,2012,1640184.535
Belgium,2013,1731727.22
Belgium,2014,1663322.102
Belgium,2015,1715533.091
Belgium,2016,1713328.045
Belgium,2017,1702959.785
Belgium,2018,1721721.123
Belgium,2019,1679663.128
Belgium,2020,1601042.723
Belgium,2021,1715375.374
Belgium,2022,1553137.949
Belgium,2023,1530648.748
Bosnia and Herzegovina,1990,:
Bosnia and Herzegovina,1991,:
Bosnia and Herzegovina,1992,:
Bosnia and Herzegovina,1993,:
Bosnia and Herzegovina,1994,:
Bosnia and Herzegovina,1995,:
Bosnia and Herzegovina,1996,:
Bosnia and Herzegovina,1997,:
Bosnia and Herzegovina,1998,:
Bosnia and Herzegovina,1999,:
Bosnia and Herzegovina,2000,:
Bosnia and Herzegovina,2001,:
Bosnia and Herzegovina,2002,:
Bosnia and Herzegovina,2003,:
Bosnia and Herzegovina,2004,:
Bosnia and Herzegovina,2005,:
Bosnia and Herzegovina,2006,:
Bosnia and Herzegovina,2007,:
Bosnia and Herzegovina,2008,:
Bosnia and Herzegovina,2009,:
Bosnia and Herzegovina,2010,:
Bosnia and Herzegovina,2011,:
Bosnia and Herzegovina,2012,:
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,136388.708
Bosnia and Herzegovina,2015,145608.7
Bosnia and Herzegovina,2016,151675.421
Bosnia and Herzegovina,2017,149265.553
Bosnia and Herzegovina,2018,180511.565
Bosnia and Herzegovina,2019,179794.802
Bosnia and Herzegovina,2020,172898.009
Bosnia and Herzegovina,2021,184074.917
Bosnia and Herzegovina,2022,183584.644
Bosnia and Herzegovina,2023,:
Bulgaria,1990,731675.305
Bulgaria,1991,543855.748
Bulgaria,1992,455312.319
Bulgaria,1993,469546.954
Bulgaria,1994,468330.099
Bulgaria,1995,506510.45
Bulgaria,1996,522055.549
Bulgaria,1997,442891.726
Bulgaria,1998,423026.599
Bulgaria,1999,386246.92
Bulgaria,2000,403636.394
Bulgaria,2001,396029.498
Bulgaria,2002,384654.5
Bulgaria,2003,415885.628
Bulgaria,2004,418020.123
Bulgaria,2005,440187.582
Bulgaria,2006,457528.988
Bulgaria,2007,449570.337
Bulgaria,2008,449670.87
Bulgaria,2009,386391.505
Bulgaria,2010,386815.725
Bulgaria,2011,404851.73
Bulgaria,2012,401900.585
Bulgaria,2013,384056.239
Bulgaria,2014,397545.972
Bulgaria,2015,421407.698
Bulgaria,2016,420350.04
Bulgaria,2017,429978.349
Bulgaria,2018,434669.565
Bulgaria,2019,425017.029
Bulgaria,2020,426350.009
Bulgaria,2021,453148.681
Bulgaria,2022,429753.452
Bulgaria,2023,414632.296
Croatia,1990,295397.248
Croatia,1991,263691.483
Croatia,1992,234326.914
Croatia,1993,234771.978
Croatia,1994,236372.081
Croatia,1995,244498.002
Croatia,1996,266758.635
Croatia,1997,274796.408
Croatia,1998,273720.407
Croatia,1999,283200.063
Croatia,2000,275476.504
Croatia,2001,284422.886
Croatia,2002,287523.262
Croatia,2003,310738.446
Croatia,2004,319753.949
Croatia,2005,328325.915
Croatia,2006,327999.422
Croatia,2007,331533.45
Croatia,2008,335902.998
Croatia,2009,322529.469
Croatia,2010,323537.857
Croatia,2011,312901.33
Croatia,2012,296963.191
Croatia,2013,293388.9
Croatia,2014,279341.922
Croatia,2015,293769.882
Croatia,2016,295149.344
Croatia,2017,306827.854
Croatia,2018,300160.28
Croatia,2019,305208.817
Croatia,2020,291589.593
Croatia,2021,305677.576
Croatia,2022,289396.609
Croatia,2023,302351.923
Cyprus,1990,40464.024
Cyprus,1991,40711.346
Cyprus,1992,45571.672
Cyprus,1993,49406.85
Cyprus,1994,58189.719
Cyprus,1995,50414.48
Cyprus,1996,57286.683
Cyprus,1997,53953.848
Cyprus,1998,57173.156
Cyprus,1999,55759.626
Cyprus,2000,61342.606
Cyprus,2001,62103.661
Cyprus,2002,62440.959
Cyprus,2003,64754.094
Cyprus,2004,62358.598
Cyprus,2005,62472.801
Cyprus,2006,66035.211
Cyprus,2007,69827.045
Cyprus,2008,75075.635
Cyprus,2009,72527.284
Cyprus,2010,70924.23
Cyprus,2011,68096.101
Cyprus,2012,63629.575
Cyprus,2013,58030.365
Cyprus,2014,59052.391
Cyprus,2015,60198.509
Cyprus,2016,63353.928
Cyprus,2017,66579.944
Cyprus,2018,68424.286
Cyprus,2019,69631.937
Cyprus,2020,65663.761
Cyprus,2021,67939.456
Cyprus,2022,69900.193
Cyprus,2023,70455.689
Czechia,1990,1452279.092
Czechia,1991,1291225.652
Czechia,1992,1232766.69
Czechia,1993,1173080.364
Czechia,1994,1102240.524
Czechia,1995,1121127.799
Czechia,1996,1140822.559
Czechia,1997,1195502.673
Czechia,1998,1141131.617
Czechia,1999,1064133.213
Czechia,2000,1106020.648
Czechia,2001,1127863.83
Czechia,2002,1122715.157
Czechia,2003,1151788.325
Czechia,2004,1184085.546
Czechia,2005,1180393.506
Czechia,2006,1195511.003
Czechia,2007,1181253.012
Czechia,2008,1171265.826
Czechia,2009,1094427.967
Czechia,2010,1161663.962
Czechia,2011,1082252.559
Czechia,2012,1079278.085
Czechia,2013,1108487.45
Czechia,2014,1056611.005
Czechia,2015,1084674.217
Czechia,2016,1083604.53
Czechia,2017,1144909.349
Czechia,2018,1137274.941
Czechia,2019,1136758.298
Czechia,2020,1093277.499
Czechia,2021,1182767.738
Czechia,2022,1138100.282
Czechia,2023,1059332.179
Denmark,1990,553463.344
Denmark,1991,581596.603
Denmark,1992,574901.062
Denmark,1993,594560.638
Denmark,1994,597102.238
Denmark,1995,606415.992
Denmark,1996,631391.29
Denmark,1997,619363.543
Denmark,1998,626798.381
Denmark,1999,608797.079
Denmark,2000,599659.833
Denmark,2001,616809.181
Denmark,2002,605229.307
Denmark,2003,614589.726
Denmark,2004,622263.326
Denmark,2005,614387.831
Denmark,2006,626843.137
Denmark,2007,630274.65
Denmark,2008,611227.717
Denmark,2009,590212.126
Denmark,2010,626830.481
Denmark,2011,598898.482
Denmark,2012,589554.113
Denmark,2013,583931.729
Denmark,2014,557431.095
Denmark,2015,574439.964
Denmark,2016,591872.218
Denmark,2017,602620.395
Denmark,2018,603689.524
Denmark,2019,597860.838
Denmark,2020,567785.426
Denmark,2021,586516.324
Denmark,2022,551997.012
Denmark,2023,544765.422
Estonia,1990,280437.507
Estonia,1991,271324.529
Estonia,1992,149216.33
Estonia,1993,128308.021
Estonia,1994,143008.619
Estonia,1995,126857.857
Estonia,1996,132117.289
Estonia,1997,128563.659
Estonia,1998,121305.8
Estonia,1999,115123.321
Estonia,2000,105536.14
Estonia,2001,118174.988
Estonia,2002,107053.685
Estonia,2003,109929.638
Estonia,2004,127315.04
Estonia,2005,133054.344
Estonia,2006,137238.559
Estonia,2007,155136.219
Estonia,2008,134884.782
Estonia,2009,100948.824
Estonia,2010,131356.048
Estonia,2011,123556.571
Estonia,2012,111962.809
Estonia,2013,126020.453
Estonia,2014,117834.205
Estonia,2015,102650.82
Estonia,2016,139894.865
Estonia,2017,127853.353
Estonia,2018,124062.421
Estonia,2019,124141.935
Estonia,2020,123753.952
Estonia,2021,123487.545
Estonia,2022,119775.382
Estonia,2023,109933.245
European Union - 27 countries (from 2020),1990,42013178.629
European Union - 27 countries (from 2020),1991,41763118.959
European Union - 27 countries (from 2020),1992,40431452.866
European Union - 27 countries (from 2020),1993,40525931.087
European Union - 27 countries (from 2020),1994,40007865.56
European Union - 27 countries (from 2020),1995,41272303.679
European Union - 27 countries (from 2020),1996,42877467.689
European Union - 27 countries (from 2020),1997,42715380.907
European Union - 27 countries (from 2020),1998,43100264.936
European Union - 27 countries (from 2020),1999,42645632.188
European Union - 27 countries (from 2020),2000,42805777.319
European Union - 27 countries (from 2020),2001,44184672.285
European Union - 27 countries (from 2020),2002,43928852.757
European Union - 27 countries (from 2020),2003,44824491.649
European Union - 27 countries (from 2020),2004,45357872.848
European Union - 27 countries (from 2020),2005,45697943.991
European Union - 27 countries (from 2020),2006,45893060.07
European Union - 27 countries (from 2020),2007,45026901.382
European Union - 27 countries (from 2020),2008,45349636.777
European Union - 27 countries (from 2020),2009,43133230.304
European Union - 27 countries (from 2020),2010,44958582.724
European Union - 27 countries (from 2020),2011,43319089.954
European Union - 27 countries (from 2020),2012,42728015.44
European Union - 27 countries (from 2020),2013,42790744.45
European Union - 27 countries (from 2020),2014,40957134.021
European Union - 27 countries (from 2020),2015,41674641.046
European Union - 27 countries (from 2020),2016,42489053.883
European Union - 27 countries (from 2020),2017,43590991.712
European Union - 27 countries (from 2020),2018,43551968.23
European Union - 27 countries (from 2020),2019,43283813.132
European Union - 27 countries (from 2020),2020,40868937.731
European Union - 27 countries (from 2020),2021,43132728.506
European Union - 27 countries (from 2020),2022,40833407.622
European Union - 27 countries (from 2020),2023,39543331.792
Finland,1990,906183.849
Finland,1991,920885.242
Finland,1992,875445.926
Finland,1993,907902.266
Finland,1994,956832.006
Finland,1995,891302.891
Finland,1996,950204.38
Finland,1997,1001141.033
Finland,1998,1038610.051
Finland,1999,1026372.061
Finland,2000,993550.881
Finland,2001,990921.433
Finland,2002,1053705.974
Finland,2003,1073730.007
Finland,2004,1104302.958
Finland,2005,1057772.358
Finland,2006,1106202.255
Finland,2007,1104356.542
Finland,2008,1077244.929
Finland,2009,1005220.66
Finland,2010,1101421.474
Finland,2011,1066313.93
Finland,2012,1052998.938
Finland,2013,1009054.692
Finland,2014,1053730.005
Finland,2015,1007238.087
Finland,2016,1052639.964
Finland,2017,1087108.566
Finland,2018,1103539.623
Finland,2019,1076679.068
Finland,2020,1034304.128
Finland,2021,1076010.626
Finland,2022,1016740.259
Finland,2023,1009616.749
France,1990,6098119.087
France,1991,6414434.13
France,1992,6272751.24
France,1993,6319319.665
France,1994,6000279.523
France,1995,6201186.865
France,1996,6600843.43
France,1997,6349906.653
France,1998,6574039.994
France,1999,6554489.607
France,2000,6554488.456
France,2001,6965393.896
France,2002,6848679.786
France,2003,6946263.556
France,2004,7050922.401
France,2005,6989384.608
France,2006,6883795.269
France,2007,6770039.504
France,2008,6844172.931
France,2009,6585922.196
France,2010,6762051.098
France,2011,6609041.272
France,2012,6767526.177
France,2013,6864110.112
France,2014,6444190.58
France,2015,6590510.035
France,2016,6635784.45
France,2017,6620585.154
France,2018,6518070.622
France,2019,6510377.448
France,2020,5909246.936
France,2021,6364001.882
France,2022,5993274.174
France,2023,5875412.76
Georgia,1990,:
Georgia,1991,:
Georgia,1992,:
Georgia,1993,:
Georgia,1994,:
Georgia,1995,:
Georgia,1996,:
Georgia,1997,:
Georgia,1998,:
Georgia,1999,:
Georgia,2000,:
Georgia,2001,:
Georgia,2002,:
Georgia,2003,:
Georgia,2004,:
Georgia,2005,:
Georgia,2006,:
Georgia,2007,:
Georgia,2008,:
Georgia,2009,:
Georgia,2010,:
Georgia,2011,:
Georgia,2012,:
Georgia,2013,156152.043
Georgia,2014,166688.581
Georgia,2015,174278.297
Georgia,2016,184218.865
Georgia,2017,186816.368
Georgia,2018,184815.444
