Country,Year,Expenditure
Austria,1975,:
Austria,1976,:
Austria,1977,:
Austria,1978,:
Austria,1979,:
Austria,1980,:
Austria,1981,:
Austria,1982,:
Austria,1983,:
Austria,1984,:
Austria,1985,:
Austria,1986,:
Austria,1987,:
Austria,1988,:
Austria,1989,:
Austria,1990,:
Austria,1991,:
Austria,1992,:
Austria,1993,:
Austria,1994,:
Austria,1995,56
Austria,1996,56
Austria,1997,52.7
Austria,1998,52.6
Austria,1999,52.4
Austria,2000,51.4
Austria,2001,51.8
Austria,2002,51.6
Austria,2003,51.8
Austria,2004,54.3
Austria,2005,51.7
Austria,2006,50.9
Austria,2007,49.7
Austria,2008,50.4
Austria,2009,54.6
Austria,2010,53.4
Austria,2011,51.3
Austria,2012,51.8
Austria,2013,52.4
Austria,2014,52.4
Austria,2015,51.2
Austria,2016,50.6
Austria,2017,49.8
Austria,2018,49.2
Austria,2019,49.1
Austria,2020,57.3
Austria,2021,56.0
Austria,2022,53.0
Austria,2023,52.7
Belgium,1975,:
Belgium,1976,:
Belgium,1977,:
Belgium,1978,:
Belgium,1979,:
Belgium,1980,:
Belgium,1981,:
Belgium,1982,:
Belgium,1983,:
Belgium,1984,:
Belgium,1985,:
Belgium,1986,:
Belgium,1987,:
Belgium,1988,:
Belgium,1989,:
Belgium,1990,:
Belgium,1991,:
Belgium,1992,:
Belgium,1993,:
Belgium,1994,:
Belgium,1995,52.6
Belgium,1996,53.1
Belgium,1997,51.6
Belgium,1998,51.0
Belgium,1999,50.5
Belgium,2000,49.4
Belgium,2001,49.4
Belgium,2002,49.9
Belgium,2003,51.0
Belgium,2004,49.3
Belgium,2005,51.9
Belgium,2006,48.8
Belgium,2007,48.6
Belgium,2008,50.8
Belgium,2009,54.5
Belgium,2010,53.9
Belgium,2011,55.0
Belgium,2012,56.2
Belgium,2013,55.9
Belgium,2014,55.4
Belgium,2015,53.9
Belgium,2016,53.4
Belgium,2017,52.3
Belgium,2018,52.5
Belgium,2019,51.8
Belgium,2020,58.5
Belgium,2021,54.9
Belgium,2022,52.2
Belgium,2023,53.3
Bulgaria,1975,:
Bulgaria,1976,:
