Country,Year,Tax
Austria,1990,:
Austria,1991,:
Austria,1992,:
Austria,1993,:
Austria,1994,:
Austria,1995,43.1
Austria,1996,44.6
Austria,1997,45.3
Austria,1998,45.3
Austria,1999,44.9
Austria,2000,44.1
Austria,2001,45.6
Austria,2002,44.5
Austria,2003,44.1
Austria,2004,43.6
Austria,2005,42.4
Austria,2006,41.8
Austria,2007,41.9
Austria,2008,42.6
Austria,2009,42.3
Austria,2010,42.2
Austria,2011,42.3
Austria,2012,43.0
Austria,2013,44.0
Austria,2014,44.1
Austria,2015,44.4
Austria,2016,42.9
Austria,2017,42.9
Austria,2018,43.3
Austria,2019,43.5
Austria,2020,42.9
Austria,2021,44.0
Austria,2022,43.5
Austria,2023,43.5
Belgium,1990,:
Belgium,1991,:
Belgium,1992,:
Belgium,1993,:
Belgium,1994,:
Belgium,1995,45.3
Belgium,1996,46
Belgium,1997,46.4
Belgium,1998,47.0
Belgium,1999,46.8
Belgium,2000,46.4
Belgium,2001,46.3
Belgium,2002,46.6
Belgium,2003,46.0
Belgium,2004,46.1
Belgium,2005,45.9
Belgium,2006,45.8
Belgium,2007,45.5
Belgium,2008,46.3
Belgium,2009,45.5
Belgium,2010,46.0
Belgium,2011,46.5
Belgium,2012,47.6
Belgium,2013,48.4
Belgium,2014,48.0
Belgium,2015,47.5
Belgium,2016,46.7
Belgium,2017,47.3
Belgium,2018,47.2
Belgium,2019,45.6
Belgium,2020,45.5
Belgium,2021,45.5
Belgium,2022,44.7
Belgium,2023,44.8
Bulgaria,1990,:
Bulgaria,1991,:
Bulgaria,1992,:
Bulgaria,1993,:
Bulgaria,1994,:
Bulgaria,1995,20.3
Bulgaria,1996,21.6
Bulgaria,1997,29.3
Bulgaria,1998,30.6
Bulgaria,1999,33.3
Bulgaria,2000,34.0
Bulgaria,2001,32.7
Bulgaria,2002,30.5
Bulgaria,2003,30.7
Bulgaria,2004,31.4
Bulgaria,2005,30.8
Bulgaria,2006,30.5
Bulgaria,2007,30.5
Bulgaria,2008,30.6
Bulgaria,2009,26.7
Bulgaria,2010,25.4
Bulgaria,2011,25.5
Bulgaria,2012,26.1
Bulgaria,2013,28.1
Bulgaria,2014,28.4
Bulgaria,2015,28.9
Bulgaria,2016,29.2
Bulgaria,2017,29.8
Bulgaria,2018,29.7
Bulgaria,2019,30.5
Bulgaria,2020,30.3
Bulgaria,2021,30.7
Bulgaria,2022,31.1
Bulgaria,2023,29.9
Croatia,1990,:
Croatia,1991,:
Croatia,1992,:
Croatia,1993,:
Croatia,1994,:
Croatia,1995,41.9
Croatia,1996,42.4
Croatia,1997,41
Croatia,1998,42.0
Croatia,1999,40.8
Croatia,2000,39.6
Croatia,2001,38.3
Croatia,2002,38.0
Croatia,2003,37.4
Croatia,2004,36.6
Croatia,2005,36.5
Croatia,2006,37.3
Croatia,2007,37.8
Croatia,2008,37.6
Croatia,2009,36.9
Croatia,2010,36.3
Croatia,2011,35.8
Croatia,2012,36.3
Croatia,2013,36.9
Croatia,2014,37.2
Croatia,2015,37.8
Croatia,2016,38.2
Croatia,2017,38.0
Croatia,2018,38.5
Croatia,2019,38.6
Croatia,2020,37.8
Croatia,2021,36.9
Croatia,2022,37.4
Croatia,2023,37.3
Cyprus,1990,:
Cyprus,1991,:
Cyprus,1992,:
Cyprus,1993,:
Cyprus,1994,:
Cyprus,1995,26.7
Cyprus,1996,26.3
Cyprus,1997,25.8
Cyprus,1998,27.2
Cyprus,1999,27.4
Cyprus,2000,29.4
Cyprus,2001,29.9
Cyprus,2002,30.0
Cyprus,2003,31.1
Cyprus,2004,31.7
Cyprus,2005,33.5
Cyprus,2006,34.2
Cyprus,2007,38.3
Cyprus,2008,36.7
Cyprus,2009,34.1
Cyprus,2010,33.8
Cyprus,2011,34.0
Cyprus,2012,34.4
Cyprus,2013,34.9
Cyprus,2014,36.3
Cyprus,2015,35.7
Cyprus,2016,34.5
Cyprus,2017,35.0
Cyprus,2018,34.9
Cyprus,2019,35.8
Cyprus,2020,35.5
Cyprus,2021,35.6
Cyprus,2022,35.9
Cyprus,2023,38.8
Czechia,1990,:
Czechia,1991,:
Czechia,1992,:
Czechia,1993,:
Czechia,1994,:
Czechia,1995,34.2
Czechia,1996,32.9
Czechia,1997,33.2
Czechia,1998,32.1
Czechia,1999,32.8
Czechia,2000,32.4
Czechia,2001,32.2
Czechia,2002,33.1
Czechia,2003,33.9
Czechia,2004,34.4
Czechia,2005,34.4
Czechia,2006,34.1
Czechia,2007,34.6
Czechia,2008,33.5
Czechia,2009,32.6
Czechia,2010,32.6
Czechia,2011,33.7
Czechia,2012,34.3
Czechia,2013,34.7
Czechia,2014,33.9
Czechia,2015,34.1
Czechia,2016,34.8
Czechia,2017,35.0
Czechia,2018,35.6
Czechia,2019,35.4
Czechia,2020,35.3
Czechia,2021,34.8
Czechia,2022,34.1
Czechia,2023,34.1
Denmark,1990,:
Denmark,1991,:
Denmark,1992,:
Denmark,1993,:
Denmark,1994,:
Denmark,1995,48.3
Denmark,1996,48.5
Denmark,1997,48.4
Denmark,1998,49.0
Denmark,1999,49.6
Denmark,2000,48.5
Denmark,2001,47.6
Denmark,2002,47.1
Denmark,2003,47.3
Denmark,2004,47.8
Denmark,2005,49.3
Denmark,2006,47.8
Denmark,2007,47.8
Denmark,2008,46.0
Denmark,2009,46.0
Denmark,2010,46.3
Denmark,2011,46.3
Denmark,2012,47.0
Denmark,2013,47.2
Denmark,2014,50.0
Denmark,2015,47.6
Denmark,2016,46.9
Denmark,2017,46.5
Denmark,2018,45.4
Denmark,2019,48.1
Denmark,2020,48.1
Denmark,2021,48.1
Denmark,2022,42.6
Denmark,2023,44.1
