Country,Year,total_GDP,First_sector_GDP,Second_sector_GDP,Third_sector_GDP
Albania,1975,:,:,:,:
Albania,1976,:,:,:,:
Albania,1977,:,:,:,:
Albania,1978,:,:,:,:
Albania,1979,:,:,:,:
Albania,1980,:,:,:,:
Albania,1981,:,:,:,:
Albania,1982,:,:,:,:
Albania,1983,:,:,:,:
Albania,1984,:,:,:,:
Albania,1985,:,:,:,:
Albania,1986,:,:,:,:
Albania,1987,:,:,:,:
Albania,1988,:,:,:,:
Albania,1989,:,:,:,:
Albania,1990,:,:,:,:
Albania,1991,:,:,:,:
Albania,1992,:,:,:,:
Albania,1993,:,:,:,:
Albania,1994,:,:,:,:
Albania,1995,4459,1501.3,806.2,2151.5
Albania,1996,4780.2,1553.5,929.1999999999999,2297.5
Albania,1997,4292.3,1277.4,779.0,2235.9
Albania,1998,4657.5,1356.7,869.7,2431.1000000000004
Albania,1999,5323.2,1422.6,1035.5,2865.1
Albania,2000,5639.1,1521.3,1206.2,2911.6000000000004
Albania,2001,6148.2,1566.1999999999998,1413.2,3168.8
Albania,2002,6410.8,1590.1,1479.3000000000002,3341.4000000000005
Albania,2003,6707.4,1646.4,1721.4,3339.6
Albania,2004,7101.2,1762.6000000000001,1829.3000000000002,3509.2999999999993
Albania,2005,7471.8,1778.5,1928.8,3764.5
Albania,2006,7909.9,1850.1,2082.9,3976.899999999999
Albania,2007,8373.1,1918.8999999999999,2097.2,4357.000000000001
Albania,2008,8887.6,2068.7,2220.3,4598.6
Albania,2009,9216.7,2106.3,2267.2,4843.200000000001
Albania,2010,9562.3,2311.0,2305.4,4945.9
Albania,2011,9865.7,2457.6,2324.9,5083.200000000001
Albania,2012,9967.8,2621.0,2094.3999999999996,5252.4
Albania,2013,10080.3,2686.5,2108.0,5285.799999999999
Albania,2014,10295.1,2772.3999999999996,1942.5,5580.200000000001
Albania,2015,10529.3,2760.4,2054.2999999999997,5714.6
Albania,2016,10865.3,2767.3,2135.7,5962.299999999999
Albania,2017,11281.4,2801.7,2218.3999999999996,6261.300000000001
Albania,2018,11744.7,2855.3999999999996,2412.1000000000004,6477.200000000001
Albania,2019,12023.6,2907.9,2411.2,6704.500000000001
Albania,2020,11671.6,2836.7,2399.6,6435.300000000001
Albania,2021,12628.5,2902.4,2749.4000000000005,6976.7
Albania,2022,:,:,:,:
Albania,2023,:,:,:,:
Albania,2024,:,:,:,:
Austria,1975,:,:,:,:
Austria,1976,:,:,:,:
Austria,1977,:,:,:,:
Austria,1978,:,:,:,:
Austria,1979,:,:,:,:
Austria,1980,:,:,:,:
Austria,1981,:,:,:,:
Austria,1982,:,:,:,:
Austria,1983,:,:,:,:
Austria,1984,:,:,:,:
Austria,1985,:,:,:,:
Austria,1986,:,:,:,:
Austria,1987,:,:,:,:
Austria,1988,:,:,:,:
Austria,1989,:,:,:,:
Austria,1990,:,:,:,:
Austria,1991,:,:,:,:
Austria,1992,:,:,:,:
Austria,1993,:,:,:,:
Austria,1994,:,:,:,:
Austria,1995,231756.6,3953.6000000000004,72896.2,154906.8
Austria,1996,235826.5,3979.3,73911.9,157935.30000000002
Austria,1997,240967.9,4124.6,74842.4,162000.9
Austria,1998,250077,4287.4,77009.9,168779.7
Austria,1999,258770.3,4537.4,79377.6,174855.3
Austria,2000,268143.7,4288.8,82179.7,181675.2
Austria,2001,272130.2,4360.1,83254.5,184515.60000000003
Austria,2002,275896.4,4328.3,82526.7,189041.40000000002
Austria,2003,279512.6,4174.8,84654.7,190683.09999999998
Austria,2004,287158.8,4794.1,87255.40000000001,195109.3
Austria,2005,294226,4783.7,89228.4,200213.9
Austria,2006,304670,4705.5,91911.0,208053.5
Austria,2007,316468.9,5124.6,96031.5,215312.80000000005
Austria,2008,321824.3,5616.5,96307.9,219899.9
Austria,2009,308937.2,5136.7,86146.7,217653.8
Austria,2010,314719,4893.299999999999,88347.3,221478.40000000002
Austria,2011,324965.9,5671.4,90851.5,228443.0
Austria,2012,326435.9,5330.6,92119.7,228985.60000000003
Austria,2013,326010.5,5038.1,92614.5,228357.90000000002
Austria,2014,328437.4,5305.2,92702.1,230430.1
Austria,2015,331973.5,5091.8,92589.40000000001,234292.3
Austria,2016,338881.4,5283.5,95733.90000000001,237864.0
Austria,2017,347006.6,5335.8,98704.6,242966.19999999998
Austria,2018,356475.4,5360.2,101864.5,249250.7
Austria,2019,362847.3,5204.9,102468.5,255173.89999999997
Austria,2020,340529.9,4833.4,96809.8,238886.7
