Country,Year,total_Investment,First_sector_Inv,Second_sector_Inv,Third_sector_Inv
Albania,1975,:,:,:,:
Albania,1976,:,:,:,:
Albania,1977,:,:,:,:
Albania,1978,:,:,:,:
Albania,1979,:,:,:,:
Albania,1980,:,:,:,:
Albania,1981,:,:,:,:
Albania,1982,:,:,:,:
Albania,1983,:,:,:,:
Albania,1984,:,:,:,:
Albania,1985,:,:,:,:
Albania,1986,:,:,:,:
Albania,1987,:,:,:,:
Albania,1988,:,:,:,:
Albania,1989,:,:,:,:
Albania,1990,:,:,:,:
Albania,1991,:,:,:,:
Albania,1992,:,:,:,:
Albania,1993,:,:,:,:
Albania,1994,:,:,:,:
Albania,1995,:,:,:,:
Albania,1996,:,:,:,:
Albania,1997,:,:,:,:
Albania,1998,:,:,:,:
Albania,1999,:,:,:,:
Albania,2000,:,:,:,:
Albania,2001,:,:,:,:
Albania,2002,:,:,:,:
Albania,2003,:,:,:,:
Albania,2004,:,:,:,:
Albania,2005,:,:,:,:
Albania,2006,:,:,:,:
Albania,2007,:,:,:,:
Albania,2008,:,:,:,:
Albania,2009,:,:,:,:
Albania,2010,:,:,:,:
Albania,2011,:,:,:,:
Albania,2012,:,:,:,:
Albania,2013,:,:,:,:
Albania,2014,:,:,:,:
Albania,2015,:,:,:,:
Albania,2016,:,:,:,:
Albania,2017,:,:,:,:
Albania,2018,:,:,:,:
Albania,2019,:,:,:,:
Albania,2020,:,:,:,:
Albania,2021,:,:,:,:
Albania,2022,:,:,:,:
Albania,2023,:,:,:,:
Austria,1975,:,:,:,:
Austria,1976,:,:,:,:
Austria,1977,:,:,:,:
Austria,1978,:,:,:,:
Austria,1979,:,:,:,:
Austria,1980,:,:,:,:
Austria,1981,:,:,:,:
Austria,1982,:,:,:,:
Austria,1983,:,:,:,:
Austria,1984,:,:,:,:
Austria,1985,:,:,:,:
Austria,1986,:,:,:,:
Austria,1987,:,:,:,:
Austria,1988,:,:,:,:
Austria,1989,:,:,:,:
Austria,1990,:,:,:,:
Austria,1991,:,:,:,:
Austria,1992,:,:,:,:
Austria,1993,:,:,:,:
Austria,1994,:,:,:,:
Austria,1995,67618.7,2359.7999999999997,14795.0,50463.899999999994
Austria,1996,69879.6,2571.1,15755.699999999999,51552.8
Austria,1997,70218.7,2852.5,16539.6,50826.6
Austria,1998,72571,2600.7000000000003,16308.9,53661.4
Austria,1999,73594.6,2659.9,15944.800000000001,54989.90000000001
Austria,2000,77639.8,2489.2,17133.8,58016.8
Austria,2001,76857.9,2555.2,17647.9,56654.799999999996
Austria,2002,74417.5,2402.5,16343.999999999998,55671.0
Austria,2003,77338.7,2348.0,16962.0,58028.7
Austria,2004,78226.6,2382.3999999999996,16461.600000000002,59382.600000000006
Austria,2005,78531.7,2517.0,17136.3,58878.399999999994
Austria,2006,79579,2402.6,18571.600000000002,58604.79999999999
Austria,2007,83163.1,2717.7,18604.0,61841.40000000001
Austria,2008,84635.5,2962.8,17910.9,63761.799999999996
Austria,2009,78665.9,2857.0,16425.800000000003,59383.09999999999
Austria,2010,76720.8,2828.2,16199.0,57693.600000000006
Austria,2011,81666.5,2907.2999999999997,17878.0,60881.2
Austria,2012,82708.1,2877.2999999999997,19946.199999999997,59884.600000000006
Austria,2013,83733.9,2909.5,20494.4,60329.99999999999
Austria,2014,83462.1,2566.7,19554.2,61341.20000000001
Austria,2015,85175.3,2441.2,19725.5,63008.600000000006
Austria,2016,89037.6,2283.3,20901.0,65853.3
Austria,2017,92750.6,2481.4,22612.6,67656.6
Austria,2018,96844.4,2675.5,23610.100000000002,70558.79999999999
Austria,2019,100966.8,2659.6,24593.600000000002,73713.59999999999
Austria,2020,95590.1,2680.1,21867.3,71042.7
Austria,2021,101311,3629.3,25160.899999999998,72520.8
Austria,2022,101687.3,2984.7,24742.899999999998,73959.70000000001
Austria,2023,98421.8,2933.7,23790.1,71698.0
Belgium,1975,:,:,:,:
Belgium,1976,:,:,:,:
Belgium,1977,:,:,:,:
Belgium,1978,:,:,:,:
Belgium,1979,:,:,:,:
Belgium,1980,:,:,:,:
Belgium,1981,:,:,:,:
Belgium,1982,:,:,:,:
Belgium,1983,:,:,:,:
Belgium,1984,:,:,:,:
Belgium,1985,:,:,:,:
Belgium,1986,:,:,:,:
Belgium,1987,:,:,:,:
Belgium,1988,:,:,:,:
Belgium,1989,:,:,:,:
Belgium,1990,:,:,:,:
Belgium,1991,:,:,:,:
Belgium,1992,:,:,:,:
