Country,R2_deg1,R2_deg2,R2_deg3,R2_deg4
Austria,-7.178603218140343,-21.997121533356033,-65.84238964213814,-1587.9978418240476
Belgium,-10.776037259857192,-12.773376396107789,-20.716820782260836,-7949.721680305856
Croatia,-109.38770568947544,-52.17686140708135,-318.80487496129206,-9396.903564180107
Cyprus,-11.95465800926155,-18.077122509830254,-1411.0626001594123,-177824.80806307506
Denmark,-23.6430288589749,-113.773714292141,-388.6541780764864,-1185.6175169723813
Estonia,-3.7424684690519547,-33.231882992430315,-82.90812739498055,-188.91668670403584
Finland,-6.661548423558239,-49.04531161989884,-4977.693385188947,-435093.930010824
France,-1.4765414855158014,-41.19850068034257,-179.79260409132718,-3019.7357134961953
Germany,-2.366392362323489,-5.575351711160922,-90.28256780927347,-8672.53973161511
Greece,-14.45315103757672,-161.27222634859166,-478.81763688375224,-10630.564516429411
Ireland,-9.096371040293615,-7.114892521457312,-8.56307691615393,-2189.515406639762
Italy,-2.4986325058364125,-27.74186476517631,-309.8219804863221,-344.7755931507851
Latvia,-3.2447869936724247,-11.683163126284459,-44.226086693788325,-10487.939635567194
Lithuania,-9.90450312265084,-3.649910494986494,-2314.8698702394627,-1414.9882056485737
Luxembourg,-32.03294120255995,-33.96312358348384,-297.5474438997289,-2608.0988652294664
Netherlands,-5.825007521121274,-86.97987248213471,-2879.9190016479074,-132509.67478777282
Portugal,-5.6894145380627545,-97.9611977896416,-66.12184045338279,-87332.92625847046
Slovakia,-3.8262732096102225,-10.579873823557053,-26.461518370453604,-4629.898187781916
Slovenia,-5.130701197734622,-45.68764360712276,-339.48305809855225,-3264.9246868325918
Spain,-5.900020099555306,-14.269886628795485,-2212.3799594236343,-32352.411498504218
