Country,Year,ED,Expenditure,Irate,Population,Tax,Trade,First_sector_GDP,First_sector_Inv
Austria,1994,849432.583,55.48612230829965,,,,,,
Austria,1995,882550.058,56.0,0.29000000000000004,,-0.8859366244357574,871.4289595087985,46.08664177005403,-97.91224065787128
Austria,1996,961798.352,56.0,-2.0,-5165.0,1.5,-769.2999999999997,25.700000000000273,211.29999999999973
Austria,1997,950097.615,52.7,-0.6875,2321.0,0.6999999999999957,1439.1999999999998,145.30000000000018,281.4000000000001
Austria,1998,971582.69,52.6,-0.5133999999999999,-5749.0,0.0,1085.5,162.79999999999927,-251.79999999999973
Austria,1999,980833.824,52.4,-0.7225000000000001,5195.0,-0.3999999999999986,1364.4,250.0,59.19999999999982
Austria,2000,987164.955,51.4,1.6056999999999997,8380.0,-0.7999999999999972,1919.9,-248.59999999999945,-170.70000000000027
Austria,2001,1045151.63,51.8,-0.7027999999999999,-965.0,1.5,900.1999999999998,71.30000000000018,66.0
Austria,2002,1052795.994,51.6,-0.5935999999999999,23934.0,-1.1000000000000014,4622.4,-31.800000000000182,-152.69999999999982
Austria,2003,1112017.485,51.8,-1.1587,-6061.0,-0.3999999999999986,-1983.6999999999998,-153.5,-54.5
Austria,2004,1122335.017,54.3,-0.05929999999999991,5667.0,-0.5,745.9000000000005,619.3000000000002,34.40000000000009
Austria,2005,1144773.822,51.7,0.05820000000000025,16486.0,-1.2000000000000028,1014.7999999999993,-10.400000000000546,134.5999999999999
Austria,2006,1162648.966,50.9,1.1031999999999997,-5847.0,-0.6000000000000014,1483.5,-78.19999999999982,-114.40000000000009
Austria,2007,1136167.104,49.7,1.0140000000000002,-24253.0,0.10000000000000142,2833.8999999999996,419.10000000000036,315.0999999999999
Austria,2008,1137348.097,50.4,0.37599999999999945,-3681.0,0.7000000000000028,533.8000000000011,491.89999999999964,245.10000000000036
Austria,2009,1110439.188,54.6,-3.2156999999999996,2009.0,-0.30000000000000426,-3339.1000000000004,-479.8000000000002,-105.80000000000018
Austria,2010,1162629.541,53.4,-0.2570000000000001,-10374.0,-0.09999999999999432,702.6000000000004,-243.40000000000055,-28.800000000000182
Austria,2011,1120464.134,51.3,0.6545000000000001,6881.0,0.09999999999999432,-1703.0,778.1000000000004,79.10000000000036
Austria,2012,1132741.583,51.8,-0.8936,9436.0,0.7000000000000028,240.1999999999989,-340.7999999999993,-30.0
Austria,2013,1156661.738,52.4,-0.5782,10782.0,1.0,78.20000000000073,-292.5,32.19999999999982
Austria,2014,1115472.117,52.4,-0.06090000000000001,12187.0,0.10000000000000142,1640.0,267.09999999999945,-342.8000000000002
Austria,2015,1142111.956,51.2,-0.3074,21214.0,0.29999999999999716,1954.7000000000007,-213.39999999999964,-125.5
Austria,2016,1170832.574,50.6,-0.2026,38405.0,-1.5,779.5,191.69999999999982,-157.89999999999964
Austria,2017,1180130.579,49.8,-0.1103,-43151.0,0.0,-1977.800000000001,52.30000000000018,198.0999999999999
Austria,2018,1167794.406,49.2,-0.02779999999999999,-22992.0,0.3999999999999986,227.20000000000073,24.399999999999636,194.0999999999999
Austria,2019,1186521.832,49.1,-0.044300000000000006,-12894.0,0.20000000000000284,2584.7999999999993,-155.30000000000018,-15.900000000000091
Austria,2020,1128482.74,57.3,-0.08840000000000003,5781.0,-0.6000000000000014,-1336.3999999999996,-371.5,20.5
Austria,2021,1195922.712,56.0,-0.18489999999999995,-10689.0,1.1000000000000014,-9294.7,398.3000000000011,949.2000000000003
Austria,2022,1120880.35,53.0,1.5902999999999998,14665.0,-0.5,-5604.6,171.89999999999964,-644.6000000000004
Austria,2023,1071033.951,52.7,2.765,79578.0,0.0,12062.099999999999,-359.10000000000036,-51.0
Belgium,1994,1496385.664,,,,,,,
Belgium,1995,1543084.656,0.4156351590164036,0.29000000000000004,,-0.3918587268424645,-394.4606788683541,80.7931680120837,0.8587985496423016
Belgium,1996,1635820.612,0.5,-2.0,-17470.0,0.7000000000000028,-1502.8000000000002,-20.799999999999727,300.9999999999999
Belgium,1997,1624995.739,-1.5,-0.6875,14706.0,0.3999999999999986,1685.8000000000002,95.80000000000018,-264.9
Belgium,1998,1664443.789,-0.6000000000000014,-0.5133999999999999,-5141.0,0.6000000000000014,-255.10000000000036,39.499999999999545,-52.10000000000002
Belgium,1999,1664652.519,-0.5,-0.7225000000000001,-550.0,-0.20000000000000284,1178.0,18.0,18.000000000000114
Belgium,2000,1709083.236,-1.1000000000000014,1.6056999999999997,3845.0,-0.3999999999999986,-2241.7,159.30000000000018,-21.399999999999977
Belgium,2001,1745061.377,0.0,-0.7027999999999999,-1004.0,-0.10000000000000142,2296.2,-216.30000000000018,-7.900000000000091
Belgium,2002,1671558.6,0.5,-0.5935999999999999,21982.0,0.30000000000000426,5600.200000000001,226.4000000000001,90.79999999999995
Belgium,2003,1744525.835,1.1000000000000014,-1.1587,-192.0,-0.6000000000000014,-175.5,-79.40000000000009,-136.29999999999995
Belgium,2004,1763509.577,-1.7000000000000028,-0.05929999999999991,-5542.0,0.10000000000000142,-538.4000000000015,190.5,57.90000000000009
Belgium,2005,1742655.551,2.6000000000000014,0.05820000000000025,8854.0,-0.20000000000000284,-2011.7999999999993,-48.69999999999982,71.59999999999991
Belgium,2006,1686734.906,-3.1000000000000014,1.1031999999999997,16099.0,-0.10000000000000142,629.2000000000007,256.4000000000001,177.20000000000005
Belgium,2007,1624668.923,-0.19999999999999574,1.0140000000000002,7622.0,-0.29999999999999716,1065.0,8.400000000000091,160.79999999999995
Belgium,2008,1745739.059,2.1999999999999957,0.37599999999999945,9180.0,0.7999999999999972,-11842.7,95.49999999999955,125.20000000000005
Belgium,2009,1665818.182,3.700000000000003,-3.2156999999999996,3882.0,-0.7999999999999972,4775.1,85.90000000000055,73.10000000000014
Belgium,2010,1799629.64,-0.6000000000000014,-0.2570000000000001,611.0,0.5,-1714.7000000000007,251.99999999999955,-76.10000000000014
Belgium,2011,1658708.863,1.1000000000000014,0.6545000000000001,73908.0,0.5,-6270.7,26.09999999999991,161.10000000000014
Belgium,2012,1640184.535,1.2000000000000028,-0.8936,-85482.0,1.1000000000000014,-263.20000000000005,23.5,-14.200000000000273
Belgium,2013,1731727.22,-0.30000000000000426,-0.5782,-13166.0,0.7999999999999972,2090.4,-311.1999999999998,-46.799999999999955
Belgium,2014,1663322.102,-0.5,-0.06090000000000001,-19219.0,-0.3999999999999986,-86.69999999999993,218.4000000000001,6.0
Belgium,2015,1715533.091,-1.5,-0.3074,13568.0,-0.5,1957.2,410.1999999999998,28.299999999999955
Belgium,2016,1713328.045,-0.5,-0.2026,17409.0,-0.7999999999999972,-2088.8,-254.0,-3.5
Belgium,2017,1702959.785,-1.1000000000000014,-0.1103,-33233.0,0.5999999999999943,-832.8000000000001,179.0,87.09999999999991
Belgium,2018,1721721.123,0.20000000000000284,-0.02779999999999999,6252.0,-0.09999999999999432,-5958.900000000001,-336.5999999999999,104.00000000000023
