Feature,Coefficient
ED,6090.264043347443
Expenditure,-276.1613473249711
Irate,-60.89200267045376
Population,10216.808183219542
Tax,-1198.2094132364084
Trade,-248.9566284229195
First_sector_Inv,2983.2924573496075
ED^2,79.6796023187822
ED Expenditure,2577.133022027017
ED Irate,-712.2188953829617
ED Population,-11031.176658445025
ED Tax,-13471.740495300712
ED Trade,-2849.2297706688623
ED First_sector_Inv,10727.871797503374
Expenditure^2,56.74058795355687
Expenditure Irate,124.10807403923351
Expenditure Population,-2523.2764653937384
Expenditure Tax,-364.20637454757895
Expenditure Trade,-659.8969713792469
Expenditure First_sector_Inv,-43.32372065378716
Irate^2,69.70234018108994
Irate Population,-692.6968991596572
Irate Tax,79.67222395050264
Irate Trade,10.24654765581958
Irate First_sector_Inv,904.4599053548891
Population^2,9598.339884272984
Population Tax,7647.583209826865
Population Trade,1337.1117826634447
Population First_sector_Inv,-13305.034935315938
Tax^2,348.870156793598
Tax Trade,1389.2497210057927
Tax First_sector_Inv,3592.0366906329887
Trade^2,264.23131885837125
Trade First_sector_Inv,211.58554512191589
First_sector_Inv^2,885.6764714337971
