Feature,Coefficient
ED,3544.6233563580977
Expenditure,-22.022847759201838
Irate,66.57787253501331
Population,8447.00010991879
Tax,-1139.1816737910528
Trade,154.0936844387225
First_sector_Inv,6055.736517475192
ED^2,-2043.8219410795955
ED Expenditure,-197.34485945376656
ED Irate,94.2823184444983
ED Population,-609.9392311629063
ED Tax,-4961.646645704651
ED Trade,-1828.6978117183376
ED First_sector_Inv,2507.9494460639867
Expenditure^2,-33.08937955285182
Expenditure Irate,386.4451582389631
Expenditure Population,265.52499776773027
Expenditure Tax,-166.0903140846574
Expenditure Trade,-207.64354081160457
Expenditure First_sector_Inv,-235.17358791462019
Irate^2,25.596133730209136
Irate Population,-1482.0280847519587
Irate Tax,-274.49181116708985
Irate Trade,45.14116749260035
Irate First_sector_Inv,979.2349676644246
Population^2,1753.5589575907602
Population Tax,1196.1325433515526
Population Trade,238.81192502301354
Population First_sector_Inv,-4181.901468413227
Tax^2,-44.34732915435368
Tax Trade,685.5563875979556
Tax First_sector_Inv,2742.1645518905425
Trade^2,164.39778620734148
Trade First_sector_Inv,590.4776934245834
First_sector_Inv^2,-184.6446735388218
